0 300 200 1.000000
1 301 200 1.000000
2 302 201 1.000000
3 302 201 1.000000
4 303 202 1.000000
5 303 202 1.000000
6 304 202 1.000000
7 305 203 1.000000
8 305 203 1.000000
9 306 204 1.000000
10 307 204 1.000000
11 307 205 1.000000
12 308 205 1.000000
13 309 205 1.000000
14 309 206 1.000000
15 310 206 1.000000
16 310 207 1.000000
17 311 207 1.000000
18 312 207 1.000000
19 312 208 1.000000
20 313 208 1.000000
21 314 209 1.000000
22 314 209 1.000000
23 315 209 1.000000
24 316 210 1.000000
25 316 210 1.000000
26 317 211 1.000000
27 317 211 1.000000
28 318 211 1.000000
29 319 212 1.000000
30 319 212 1.000000
31 320 213 1.000000
32 321 213 1.000000
33 321 213 1.000000
34 322 214 1.000000
35 322 214 1.000000
36 323 215 1.000000
37 324 215 1.000000
38 324 215 1.000000
39 325 216 1.000000
40 326 216 1.000000
41 326 217 1.000000
42 327 217 1.000000
43 328 217 1.000000
44 328 218 1.000000
45 329 218 1.000000
46 329 219 1.000000
47 330 219 1.000000
48 331 220 1.000000
49 331 220 1.000000
50 332 220 1.000000
51 333 221 1.000000
52 333 221 1.000000
53 334 222 1.000000
54 334 222 1.000000
55 335 222 1.000000
56 336 223 1.000000
57 336 223 1.000000
58 337 224 1.000000
59 338 224 1.000000
60 338 224 1.000000
61 339 225 1.000000
62 340 225 1.000000
63 340 226 1.000000
64 341 226 1.000000
65 341 226 1.000000
66 342 227 1.000000
67 343 227 1.000000
68 343 228 1.000000
69 344 228 1.000000
70 345 228 1.000000
71 345 229 1.000000
72 346 229 1.000000
73 346 230 1.000000
74 347 230 1.000000
75 348 230 1.000000
76 348 231 1.000000
77 349 231 1.000000
78 350 232 1.000000
79 350 232 1.000000
80 351 232 1.000000
81 352 233 1.000000
82 352 233 1.000000
83 353 234 1.000000
84 353 234 1.000000
85 354 235 1.000000
86 355 235 1.000000
87 355 235 1.000000
88 356 236 1.000000
89 357 236 1.000000
90 357 237 1.000000
91 358 237 1.000000
92 358 237 1.000000
93 359 238 1.000000
94 360 238 1.000000
95 360 239 1.000000
96 361 239 1.000000
97 362 239 1.000000
98 362 240 1.000000
99 363 240 1.000000
100 363 241 1.000000
101 364 241 1.000000
102 365 241 1.000000
103 365 242 1.000000
104 366 242 1.000000
105 367 243 1.000000
106 367 243 1.000000
107 368 243 1.000000
108 369 244 1.000000
109 369 244 1.000000
110 370 245 1.000000
111 370 245 1.000000
112 371 245 1.000000
113 372 246 1.000000
114 372 246 1.000000
115 373 247 1.000000
116 374 247 1.000000
117 374 247 1.000000
118 375 248 1.000000
119 375 248 1.000000
120 376 249 1.000000
121 377 249 1.000000
122 377 250 1.000000
123 378 250 1.000000
124 379 250 1.000000
125 379 251 1.000000
126 380 251 1.000000
127 381 252 1.000000
128 381 252 1.000000
129 382 252 1.000000
130 382 253 1.000000
131 383 253 1.000000
132 384 254 1.000000
133 384 254 1.000000
134 385 254 1.000000
135 386 255 1.000000
136 386 255 1.000000
137 387 256 1.000000
138 387 256 1.000000
139 388 256 1.000000
140 389 257 1.000000
141 389 257 1.000000
142 390 258 1.000000
143 391 258 1.000000
144 391 258 1.000000
145 392 259 1.000000
146 393 259 1.000000
147 393 260 1.000000
148 394 260 1.000000
149 394 260 1.000000
150 395 261 1.000000
151 396 261 1.000000
152 396 262 1.000000
153 397 262 1.000000
154 398 262 1.000000
155 398 263 1.000000
156 399 263 1.000000
157 399 264 1.000000
158 400 264 1.000000
159 401 264 1.000000
160 401 265 1.000000
161 402 265 1.000000
162 403 266 1.000000
163 403 266 1.000000
164 404 267 1.000000
165 405 267 1.000000
166 405 267 1.000000
167 406 268 1.000000
168 406 268 1.000000
169 407 269 1.000000
170 408 269 1.000000
171 408 269 1.000000
172 409 270 1.000000
173 410 270 1.000000
174 410 271 1.000000
175 411 271 1.000000
176 411 271 1.000000
177 412 272 1.000000
178 413 272 1.000000
179 413 273 1.000000
180 414 273 1.000000
181 415 273 1.000000
182 415 274 1.000000
183 416 274 1.000000
184 417 275 1.000000
185 417 275 1.000000
186 418 275 1.000000
187 418 276 1.000000
188 419 276 1.000000
189 420 277 1.000000
190 420 277 1.000000
191 421 277 1.000000
192 422 278 1.000000
193 422 278 1.000000
194 423 279 1.000000
195 423 279 1.000000
196 424 279 1.000000
197 425 280 1.000000
198 425 280 1.000000
199 426 281 1.000000
200 427 281 1.000000
201 427 282 1.000000
202 428 282 1.000000
203 428 282 1.000000
204 429 283 1.000000
205 430 283 1.000000
206 430 284 1.000000
207 431 284 1.000000
208 432 284 1.000000
209 432 285 1.000000
210 433 285 1.000000
211 434 286 1.000000
212 434 286 1.000000
213 435 286 1.000000
214 435 287 1.000000
215 436 287 1.000000
216 437 288 1.000000
217 437 288 1.000000
218 438 288 1.000000
219 439 289 1.000000
220 439 289 1.000000
221 440 290 1.000000
222 440 290 1.000000
223 441 290 1.000000
224 442 291 1.000000
225 442 291 1.000000
226 443 292 1.000000
227 444 292 1.000000
228 444 292 1.000000
229 445 293 1.000000
230 446 293 1.000000
231 446 294 1.000000
232 447 294 1.000000
233 447 294 1.000000
234 448 295 1.000000
235 449 295 1.000000
236 449 296 1.000000
237 450 296 1.000000
238 451 297 1.000000
239 451 297 1.000000
240 452 297 1.000000
241 452 298 1.000000
242 453 298 1.000000
243 454 299 1.000000
244 454 299 1.000000
245 455 299 1.000000
246 456 300 1.000000
247 456 300 1.000000
248 457 301 1.000000
249 458 301 1.000000
250 458 301 1.000000
251 459 302 1.000000
252 459 302 1.000000
253 460 303 1.000000
