23982	8	20
63483	8	20
51534	8	20
55692	6	20
45759	6	20
47334	8	20
21966	10	20
27111	6	20
23709	8	20
29316	6	20
21693	7	20
22449	8	20
29064	10	20
18522	6	20
18501	9	20
39585	7	20
64029	6	20
19152	7	20
19929	8	20
61152	8	20
13965	7	20
17955	8	20
15540	7	20
71820	7	20
21693	9	20
16359	9	20
17976	8	20
14742	7	20
21924	8	20
30639	8	20
16884	11	20
15687	6	20
27153	9	20
36792	9	20
154875	8	20
24591	8	20
23562	7	20
27468	8	20
33432	9	20
25389	8	20
24843	8	20
26124	10	20
43344	9	20
25683	11	20
24192	7	20
70602	9	20
36456	7	20
52920	8	20
21357	8	20
21651	9	20
26880	10	20
19950	8	20
66612	9	20
17787	10	20
33516	6	20
42693	9	20
30996	7	20
48909	9	20
35049	8	20
26838	11	20
25851	9	20
35469	10	20
29253	7	20
