34629	10	50
47796	17	50
38136	11	50
73962	12	50
52521	15	50
45822	12	50
38682	14	50
99477	15	50
39249	19	50
76062	12	50
38619	12	50
45738	12	50
37632	11	50
81900	13	50
47292	13	50
134211	12	50
103173	16	50
40950	13	50
47166	11	50
37464	14	50
77049	12	50
46998	12	50
59031	10	50
39291	13	50
42336	11	50
45150	13	50
33306	10	50
47712	14	50
42441	10	50
40089	11	50
51807	12	50
33642	13	50
67767	15	50
46305	9	50
84672	11	50
45045	9	50
47691	12	50
85827	11	50
76503	17	50
41832	11	50
85176	16	50
125790	15	50
51198	9	50
41076	4	50
77448	14	50
55818	13	50
42294	10	50
42462	15	50
52122	12	50
120519	12	50
56301	13	50
55482	15	50
56070	15	50
44394	10	50
45591	15	50
80430	15	50
53151	12	50
42399	15	50
37275	10	50
72534	13	50
43050	16	50
98049	6	50
35406	10	50
