38577	45	50
42672	44	50
59577	47	50
33705	49	50
39543	49	50
41328	46	50
40887	46	50
37086	47	50
71715	45	50
43491	47	50
52227	46	50
43890	47	50
48888	45	50
71169	45	50
44457	44	50
32340	48	50
35490	47	50
33012	47	50
39564	48	50
33852	46	50
31332	46	50
45906	46	50
33159	47	50
42924	47	50
48174	47	50
32088	46	50
41328	47	50
48993	45	50
36666	43	50
34965	47	50
39144	47	50
43869	44	50
41874	47	50
42294	44	50
54642	45	50
42231	46	50
39900	44	50
45864	46	50
47313	46	50
45255	46	50
46116	46	50
55104	46	50
80220	47	50
38703	46	50
47334	42	50
64785	41	50
48909	45	50
38010	47	50
49938	47	50
50379	47	50
36204	45	50
49497	45	50
38094	46	50
44604	46	50
44541	45	50
45213	49	50
53634	44	50
91056	45	50
40173	44	50
38682	47	50
51639	45	50
83328	46	50
36582	48	50
