0 -0.000001
1 -0.000001
2 -0.000001
3 -0.000001
4 -0.000001
5 -0.000001
6 -0.000001
7 -0.000001
8 -0.000001
9 -0.000001
10 -0.000001
11 -0.000001
12 0.144155
13 0.273438
14 0.388842
15 0.491316
16 0.581761
17 0.661033
18 0.729947
19 0.789274
20 0.839746
21 0.882053
22 0.916849
23 0.944750
24 0.966337
25 0.982157
26 0.992724
27 0.998521
28 1.000000
29 0.997585
30 0.991673
31 0.982632
32 0.970809
33 0.956523
34 0.940074
35 0.921738
36 0.901771
37 0.880410
38 0.857875
39 0.834365
40 0.810067
41 0.785149
42 0.759766
43 0.734061
44 0.708160
45 0.682182
46 0.656230
47 0.630399
48 0.604775
49 0.579432
50 0.554438
51 0.529852
52 0.505724
53 0.482101
54 0.459020
55 0.436514
56 0.414609
57 0.393329
58 0.372691
59 0.352709
60 0.333391
61 0.314745
62 0.296774
63 0.279477
64 0.262853
65 0.246897
66 0.231602
67 0.216960
68 0.202961
69 0.189593
70 0.176844
71 0.164699
72 0.153145
73 0.142166
74 0.131746
75 0.121869
76 0.112516
77 0.103672
78 0.095319
79 0.087439
80 0.080015
81 0.073029
82 0.066464
83 0.060303
84 0.054529
85 0.049124
86 0.044072
87 0.039358
88 0.034965
89 0.030877
90 0.027081
91 0.023560
92 0.020301
93 0.017290
94 0.014514
95 0.011959
96 0.009614
97 0.007465
98 0.005502
99 0.003714
